DEPTH,BS,CALI,CHR1,CHR2,CHRP,CHRS,DRHO,DT1R,DT2,DT2R,DT4P,DT4S,GR,HD1,HD2,HD3,NPOR,PEF,RHOB,SPR1,TENS,VPVS
2875.6356,311.1,311.022,0.9859,0.9808,0.8534,0.0,13.8308,622.3265,589.4005,622.9791,305.8582,569.6606,74.6123,324.3634,306.8973,302.6544,0.4259,6.2049,2594.0588,31.7788,6737.0,1.927
2875.788,311.1,311.6566,0.9798,0.9705,0.873,0.0,24.7767,639.481,588.6953,622.2337,306.947,577.4367,83.9759,319.4896,266.4487,303.8322,0.3997,4.9543,2568.2063,27.4494,6714.0,1.9179
2875.9404,311.1,311.8554,0.9757,0.9708,0.9003,0.0,12.2818,640.894,589.6656,623.2593,310.2356,584.2758,89.7883,320.1707,310.9656,304.929,0.3673,4.3731,2553.7356,27.4402,6709.0,1.9007
2876.0928,311.1,311.6566,0.9781,0.974,0.9038,0.0,12.0999,642.7421,591.7676,625.481,310.6813,583.7277,88.9654,320.1116,312.2176,306.2345,0.36,4.3801,2561.469,29.1329,6757.0,1.9047
2876.2452,311.1,312.0046,0.9754,0.9643,0.8832,0.0,10.6459,624.9445,588.3877,621.9086,310.2015,582.9238,89.3287,319.8533,311.9616,305.3471,0.3996,4.3857,2552.9146,29.7257,6724.0,1.8968
2876.3976,311.1,311.8645,0.974,0.9698,0.8851,0.0,13.5469,618.5297,567.4197,600.3806,310.4291,583.4116,89.4473,320.1056,272.0698,304.8968,0.4309,4.3316,2554.8271,27.2331,6748.0,1.8279
2876.55,311.1,312.3014,0.9708,0.9683,0.9031,0.0,16.607,613.0047,564.0371,596.8015,310.3501,583.3511,90.8633,319.6601,309.6565,304.0051,0.4169,4.2759,2548.0842,24.4844,6705.0,1.8174
2876.7024,311.1,311.716,0.97,0.9668,0.9276,0.0,28.8556,604.8757,557.6719,590.0665,309.2369,581.3791,92.0496,319.9185,308.6541,304.0051,0.4124,4.2521,2565.6296,21.9682,6675.0,1.8034
2876.8548,311.1,311.716,0.964,0.9645,0.9172,0.6591,32.5373,575.4473,533.5886,565.2421,309.2103,575.7379,91.1525,320.4534,308.5286,304.3926,0.4193,4.6178,2567.2319,36.116,6708.0,1.7256
2877.0072,311.1,312.0558,0.9645,0.9668,0.8623,0.581,26.6851,562.1045,526.2513,557.4697,300.1967,564.6238,89.9663,321.24,308.6541,304.3926,0.4242,5.1841,2579.2039,27.6466,6745.0,1.753
2877.1596,311.1,310.7393,0.9636,0.9678,0.8289,0.6292,21.2636,545.8622,499.5224,529.5478,296.9591,553.9056,81.307,321.1674,310.8355,304.8294,0.3892,6.1245,2636.7053,25.5508,6776.0,1.6821
2877.312,311.1,311.4697,0.9685,0.9674,0.8358,0.6707,25.548,520.6687,489.4467,518.8664,281.0747,539.4276,65.4785,319.6476,310.9085,304.3072,0.3227,7.4277,2734.8232,30.8112,6771.0,1.7413
2877.4644,311.1,311.228,0.9703,0.955,0.912,0.7717,23.4273,511.5974,476.7406,503.2625,275.078,517.9089,54.5654,318.8292,310.5643,304.0416,0.3565,7.3983,2779.9663,31.9961,6671.0,1.7331
2877.6168,311.1,311.452,0.9667,0.9725,0.9372,0.8147,5.9904,495.0815,462.33,488.0503,268.5478,503.6736,50.9994,317.6084,310.7833,303.2621,0.3777,7.4328,2750.9426,33.124,6711.0,1.7216
2877.7692,311.1,310.0146,0.983,0.9789,0.9446,0.8277,0.1047,485.7472,455.7763,481.132,262.4374,491.6921,54.558,318.0336,310.9085,304.3072,0.3574,6.6373,2706.6274,36.0446,6711.0,1.7367
2877.9216,311.1,310.5879,0.972,0.9708,0.9569,0.8375,0.4256,468.2256,433.7391,455.6562,258.1856,477.7569,55.9815,318.955,310.8146,304.6435,0.3384,6.2753,2711.2529,45.7652,6622.0,1.68
2878.074,311.1,310.5811,0.9745,0.9731,0.9433,0.7806,0.5931,456.2108,427.3919,448.9882,253.1731,465.5316,55.1585,318.9341,311.409,294.5988,0.2974,5.9097,2688.1321,49.9019,6721.0,1.6881
2878.2264,311.1,310.3504,0.9793,0.9765,0.938,0.7447,-2.1316,449.5209,424.0074,445.4328,250.4542,455.5084,56.1075,318.7564,310.8668,306.0534,0.3148,5.3655,2664.4507,52.9062,6740.0,1.693
2878.3788,311.1,311.728,0.9773,0.9765,0.9404,0.7842,-1.366,440.0199,408.8204,427.4128,248.668,446.3746,56.3447,318.1389,310.7833,305.1902,0.3017,5.5973,2646.2092,58.1023,6733.0,1.644
2878.5312,311.1,311.3597,0.9713,0.9601,0.9321,0.7505,-0.338,438.6157,400.9534,419.1881,247.9991,446.0411,54.8323,318.3973,311.9093,304.6813,0.2299,5.4191,2625.6531,56.2611,6799.0,1.6168
2878.6836,311.1,310.5285,0.964,0.9587,0.9006,0.7813,2.9773,437.6165,400.8769,419.1081,246.8298,443.6293,50.9178,317.2639,310.9085,304.9425,0.23,5.8376,2597.0852,54.1577,6734.0,1.6241
2878.836,311.1,310.4005,0.9705,0.9625,0.8986,0.7924,1.9279,439.8764,412.0718,430.8121,248.7684,440.8401,52.9344,316.435,312.5503,305.7923,0.2964,4.9397,2518.1548,53.1406,6771.0,1.6564
2878.9884,311.1,309.8649,0.9682,0.9626,0.9583,0.8457,2.8345,442.8985,417.6647,436.6594,253.6007,444.1268,57.1751,316.4074,311.0146,306.1039,0.3273,4.2577,2452.4575,61.0035,6750.0,1.6469
2879.1408,311.1,310.7469,0.9796,0.9639,0.9697,0.8311,2.7447,444.8638,416.0666,434.9886,253.7574,439.6996,60.9709,316.3404,311.1915,306.3145,0.2993,3.5519,2400.5625,64.1196,6724.0,1.6396
2879.2932,311.1,309.9661,0.9725,0.968,0.9741,0.8011,2.3839,444.9182,413.6085,432.4187,254.9912,436.6427,57.9684,317.4,242.0406,306.6127,0.2678,3.3501,2390.4966,63.3299,6742.0,1.6221
2879.4456,311.1,310.5285,0.9749,0.9698,0.9833,0.815,3.2702,442.7449,413.6575,432.4699,254.5374,440.9416,55.4434,318.3483,311.0982,306.5624,0.2507,3.3711,2401.2051,64.0423,6722.0,1.6251
2879.598,311.1,310.9198,0.9743,0.9692,0.989,0.8458,1.4054,446.4876,416.454,435.3936,253.0388,438.7222,54.9838,316.8917,311.349,307.0666,0.2279,3.496,2421.1375,59.8013,6699.0,1.6458
