DEPT,PZ,GZ,CALI,SP
22.6,5.8722431,4.93126115,33.31395876,13.28121542
22.8,6.10542864,5.26227621,33.32336669,13.0245474
23.0,6.75894114,6.4176015,33.32423265,13.03632346
23.2,7.1761538,6.56617931,33.31571133,13.06561865
23.4,8.57114547,6.55800662,33.43146656,12.51642919
23.6,8.80230753,6.56270528,33.55898407,11.86689627
23.8,9.02738839,6.50956878,33.96258861,11.21818582
24.0,9.21491026,6.35455103,34.22288114,10.37909924
24.2,7.03754416,6.24847592,34.46758172,9.81915834
24.4,6.03163325,6.10570627,34.85276252,8.88631579
24.6,5.61732892,5.50359568,35.27333877,6.54315437
24.8,5.40464478,5.21667436,37.8415975,5.61712766
25.0,5.11837291,5.02370705,38.16404749,4.48665667
25.2,4.99799126,4.73587253,38.60308431,3.7163596
25.4,4.96377259,4.63594373,39.35127208,3.2933891
25.6,4.86834286,4.51363893,39.49593694,3.05152446
25.8,4.79649881,4.51684685,37.59675447,2.68665054
26.0,4.76055654,4.51690366,36.17520172,2.30893403
26.2,4.75142482,4.51287277,36.34570869,2.09897465
26.4,4.83336642,4.6074044,36.56832506,2.00400006
26.6,7.04558518,4.69159244,36.81768522,2.0075691
26.8,9.11492921,4.73981945,37.05616599,2.00815079
27.0,11.1990253,4.82528747,35.67480776,2.00886422
27.2,13.29835758,4.81888255,34.10656977,2.00610669
27.4,15.40127253,4.81732501,32.53373841,1.99715548
27.6,17.5010299,4.8180021,31.79248024,2.09224077
27.8,19.58721783,4.81836377,32.13864613,1.54308723
28.0,21.70724177,4.81791243,32.19114143,1.02203615
28.2,23.59048193,4.8172511,32.19635506,0.70783102
28.4,21.60699633,4.8135793,32.18967888,0.64092096
28.6,19.60456298,4.68544952,32.19002639,0.62329609
28.8,17.62264711,4.60319967,32.21514407,0.61907092
29.0,15.65603647,4.51918596,31.87244148,0.61942699
29.2,13.68226235,4.38868651,31.88810966,0.62033511
29.4,11.70848822,4.24616559,31.88754437,0.62054053
29.6,9.7347141,4.17027631,31.78126588,0.61974962
29.8,7.76093997,4.17580411,31.75748408,0.61746703
30.0,5.78771097,4.17647781,31.75166109,0.61895621
30.2,4.51150305,4.44908506,31.7506601,0.69413834
30.4,4.54361724,4.87748464,31.75358125,0.83193056
30.6,4.55280212,4.86446297,31.76099162,0.99050111
30.8,4.55757282,4.74934401,31.6336903,1.0432729
31.0,4.56044431,4.69415508,31.61595627,1.05472327
31.2,4.56445219,4.64454914,31.56170859,1.05866188
31.4,4.56810193,4.64722579,31.56167738,1.05940513
31.6,4.64605907,4.6474051,31.56279743,1.05931455
31.8,4.71832618,4.64616376,31.56532459,1.05906662
32.0,4.73242551,4.64229225,31.57190186,1.05559974
